global_seed,timestamp,system_name,model_name,noise_level,library_strategy,optimizer,use_ensemble,threshold,active_curation_threshold,expansion_strategy,split_strategy,discovery_time_s,structural_complexity,canonical_complexity,train_r2,train_mse,test_r2,test_mse,new_traj_r2,new_traj_mse,sim_time_s,sim_r2,sim_mse,equations
136,2026-04-28 16:45:52,duffing,Standard PySR,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.15213418006897,7,29,0.9999685022798797,2.827179088915093e-06,0.9960871794528446,0.00022510437179785835,0.9939065194046943,0.0006722463187864105,5.871083974838257,0.5277929734598141,0.029400146246510703,x1 + (x1 + 0.1022932)**9; -x0**3 + x0 + x1*(-0.2973524)
32,2026-04-28 16:46:35,duffing,AutoSINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.182116270065308,7,7,0.7880623374187593,0.016866759340352734,0.8046882721848265,0.018267692738445414,0.9999849166898063,1.837201251120776e-06,0.8846557140350342,0.9974564498167047,0.00016194998842438725,1.0001747162 x1; 1.0006152036 x0 + -0.2972853705 x1 + -0.9997940855 x0**3
32,2026-04-28 16:46:35,duffing,Standard SINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4563460350036621,11,11,0.769239846112076,0.01905708032528946,0.751257040963531,0.02408555924389136,-176.45483321546217,21.72007447909952,0.7795109748840332,,,1.0389018047 x1 + -0.0393916368 1 sin(1 x1); 3.1660209593 x0^3 + -3.7210048462 x0^3 sin(1 x0)
32,2026-04-28 16:46:35,duffing,Standard PySR,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,14.53337574005127,6,81,0.7738978314696829,0.018515116271260547,-58.17258223369011,3.97932546474441,0.9501285646822918,0.006098748574788375,6.409300327301025,-6.217515507333961,1.0686942353478877,x1 - (-x1 - 0.46541268)**27; -x0**3 + x0
33,2026-04-28 16:47:18,duffing,AutoSINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.860867738723755,7,7,0.791426311065611,0.016489605311753842,0.8034800992280506,0.018677444801477074,0.9999705186571378,3.598001885611367e-06,0.8543977737426758,0.9915088241353083,0.0005476121537452143,1.0005684520 x1; 0.9976532745 x0 + -0.2951973301 x1 + -0.9967299274 x0**3
33,2026-04-28 16:47:18,duffing,Standard SINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4010963439941406,13,13,0.7243937451672147,0.024224612875005703,0.7268040011478998,0.02727507031224019,-127.8357470385784,15.769207156377345,1.3523025512695312,-20.752949002572727,3.438604681066054,0.9800638836 x1 + 0.0208562689 1 sin(1 x1); -3.1868204913 x0^3 sin(1 x0) + 2.7448581097 x0^3 cos(1 x1)
33,2026-04-28 16:47:18,duffing,Standard PySR,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,15.071092367172241,6,17,0.777257352880057,0.01812461770567258,0.7477943433563714,0.024908394415067203,0.19625426912133515,0.08924432552268023,4.951260805130005,-1.8826564394374874,0.269186519956525,x1 - (-x0*x1 + x1)**3; -x0**3 + x0
34,2026-04-28 16:48:03,duffing,AutoSINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.021600484848022,7,7,0.7883454538174601,0.017223453055267388,0.8240977247427248,0.015978574823754914,0.9999762547453952,2.8973719658443816e-06,0.9048440456390381,0.9942312356998968,0.0003711025782949409,1.0000274544 x1; 0.9989320168 x0 + -0.2956028870 x1 + -0.9980354391 x0**3
34,2026-04-28 16:48:03,duffing,Standard SINDy,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.42486119270324707,4,4,0.3918397486769236,0.06377372117508016,0.3991609712120177,0.06117038008178324,0.4732313794619637,0.06447529088144588,1.2939424514770508,-6.046593373827859,1.2371779629412687,1.0040822566 x1 + -0.0041244640 1 sin(1 x1); 0.0000000000
34,2026-04-28 16:48:03,duffing,Standard PySR,0.01,Separate,STLSQ,True,0.21,0.985,gentle,middle,18.96083164215088,4,4,0.7744034724454413,0.018860275996826437,0.7630136217219005,0.02246652555539299,0.9044433977903445,0.011137412953662315,2.865567684173584,-5.939098025952894,1.1948772622279777,-x1**9 + x1; -x0**3 + x0
